grid_id,capacity_mw,fuel_type,year
215,86.5,other,2023
215,44.5,wind,2023
215,11.5,waste,2023
215,1546.9,gas,2024
215,303.4,oil,2024
215,196.5,coal,2024
215,191.8,hydro,2024
215,86.5,other,2024
215,44.5,wind,2024
215,11.5,waste,2024
216,29.5,oil,2021
216,18.5,hydro,2021
216,29.5,oil,2022
216,18.5,hydro,2022
216,29.5,oil,2023
216,18.5,hydro,2023
216,29.5,oil,2024
216,18.5,hydro,2024
217,63.3,hydro,2021
217,53.8,oil,2021
217,65.1,hydro,2022
217,53.8,oil,2022
217,65.1,hydro,2023
217,57.3,oil,2023
217,65.1,hydro,2024
217,52.1,oil,2024
219,41.5,hydro,2021
219,25.6,oil,2021
219,41.5,hydro,2022
219,25.6,oil,2022
219,41.5,hydro,2023
219,25.6,oil,2023
219,41.5,hydro,2024
219,25.6,oil,2024
221,20.3,gas,2021
221,20.3,gas,2022
221,20.3,gas,2023
221,20.3,gas,2024
222,147.7,oil,2021
222,106.6,hydro,2021
222,147.7,oil,2022
222,106.6,hydro,2022
222,147.7,oil,2023
222,106.6,hydro,2023
222,147.7,oil,2024
222,106.6,hydro,2024
223,55.7,oil,2021
223,33.6,hydro,2021
223,9.0,wind,2021
223,5.0,other,2021
223,55.7,oil,2022
223,33.6,hydro,2022
223,9.0,wind,2022
223,5.0,other,2022
223,55.7,oil,2023
223,33.6,hydro,2023
223,9.0,wind,2023
223,5.0,other,2023
223,55.7,oil,2024
223,33.6,hydro,2024
223,9.0,wind,2024
223,5.0,other,2024
224,33.8,gas,2021
224,0.3,oil,2021
224,33.8,gas,2022
224,0.3,oil,2022
224,33.8,gas,2023
224,0.3,oil,2023
224,33.8,gas,2024
224,0.3,oil,2024
225,5.2,hydro,2021
225,5.1,oil,2021
225,5.2,hydro,2022
225,5.1,oil,2022
225,5.2,hydro,2023
225,5.1,oil,2023
225,5.2,hydro,2024
225,5.1,oil,2024
226,,,
